MCBto5,MC6to11,MC12to17,MC18to23,MC24to29,MC30to35,MC36to41,MC42to47,MC48to53,MC54toSA,MCSA
105.45,105.45,105.45,105.45,105.45,91.6,91.6,91.6,91.6,91.6,84.26
106.78,106.78,106.78,106.78,106.78,91.76,91.76,91.76,91.76,91.76,83.42
111.23,111.23,111.23,111.23,111.23,98.72,98.72,98.72,98.72,98.72,91.76
115.68,115.68,115.68,115.68,115.68,105.67,105.67,105.67,105.67,105.67,100.11
120.13,120.13,120.13,120.13,120.13,112.62,112.62,112.62,112.62,112.62,108.45
124.58,124.58,124.58,124.58,124.58,119.57,119.57,119.57,119.57,119.57,116.79
79.97,79.97,79.97,79.97,79.97,77.9,77.9,77.9,77.9,77.9,77.21
81.86,81.86,81.86,81.86,81.86,79.28,79.28,79.28,79.28,79.28,77.55
83.76,83.76,83.76,83.76,83.76,80.65,80.65,80.65,80.65,80.65,77.9
85.65,85.65,85.65,85.65,85.65,82.03,82.03,82.03,82.03,82.03,78.24
87.55,87.55,87.55,87.55,87.55,83.41,83.41,83.41,83.41,83.41,78.59
89.44,89.44,89.44,89.44,89.44,84.79,84.79,84.79,84.79,84.79,78.93
91.34,91.34,91.34,91.34,91.34,86.17,86.17,86.17,86.17,86.17,79.28
92.49,92.49,92.49,92.49,92.49,87.03,87.03,87.03,87.03,87.03,80.14
93.64,93.64,93.64,93.64,93.64,87.89,87.89,87.89,87.89,87.89,81.0
94.79,94.79,94.79,94.79,94.79,88.75,88.75,88.75,88.75,88.75,81.86
95.94,95.94,95.94,95.94,95.94,89.62,89.62,89.62,89.62,89.62,82.72
108.4,108.4,108.4,108.4,108.4,88.75,88.75,88.75,88.75,88.75,83.58
108.57,108.57,108.57,108.57,108.57,90.48,90.48,90.48,90.48,90.48,86.17
108.75,108.75,108.75,108.75,108.75,92.2,92.2,92.2,92.2,92.2,88.75
108.92,108.92,108.92,108.92,108.92,93.92,93.92,93.92,93.92,93.92,91.34
109.09,109.09,109.09,109.09,109.09,95.65,95.65,95.65,95.65,95.65,93.92
109.26,109.26,109.26,109.26,109.26,97.37,97.37,97.37,97.37,97.37,96.51
109.44,109.44,109.44,109.44,109.44,99.09,99.09,99.09,99.09,99.09,99.09
113.17,113.17,113.17,113.17,113.17,100.53,100.53,100.53,100.53,100.53,99.09
116.9,116.9,116.9,116.9,116.9,101.97,101.97,101.97,101.97,101.97,99.09
120.64,120.64,120.64,120.64,120.64,103.4,103.4,103.4,103.4,103.4,99.09
124.37,124.37,124.37,124.37,124.37,104.84,104.84,104.84,104.84,104.84,99.09
89.44,89.44,89.44,89.44,89.44,85.65,85.65,85.65,85.65,85.65,83.76
